"Player played with - scissors","PC played with - scissors","Rezas - Lygiosios"
"Player played with - rock","PC played with - scissors","Rezas - Laimejote"
"Player played with - \n"";paper","PC played with - paper","Rezas - Lygiosios"
"Player played with - paper","PC played with - scissors","Rezas - Praleimejote"
"Player played with - scissors","PC played with - rock","Rezas - Praleimejote"
